"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1","Clayton Kershaw",491676,"NULL","Missed Bunt","null","null"
"2","Clayton Kershaw",491676,"SL|CU","Swinging Strike (Blocked)","null","null"
"3","Clayton Kershaw",491676,"CU|FF","Called Strike","null","null"
"4","Clayton Kershaw",491676,"FF|SL","Foul","null","null"
"5","Clayton Kershaw",474832,"NULL","In play, out(s)","105.8","19.08"
"6","Clayton Kershaw",474832,"SL|FF","Called Strike","null","null"
"7","Clayton Kershaw",457763,"NULL","In play, out(s)","88.9","38.57"
"8","Clayton Kershaw",452254,"NULL","Swinging Strike","null","null"
"9","Clayton Kershaw",452254,"SL|FF","Foul","null","null"
"10","Clayton Kershaw",452254,"FF|FF","Ball","null","null"
"11","Clayton Kershaw",452254,"FF|FF","Ball","null","null"
"12","Clayton Kershaw",452254,"FF|CU","Swinging Strike (Blocked)","null","null"
"13","Clayton Kershaw",493596,"NULL","In play, out(s)","85.1","53.08"
"14","Clayton Kershaw",474832,"NULL","Foul","null","null"
"15","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"16","Clayton Kershaw",474832,"FF|SL","Ball","null","null"
"17","Clayton Kershaw",474832,"SL|FF","Foul","null","null"
"18","Clayton Kershaw",457763,"NULL","In play, no out","99.8","18.36"
"19","Clayton Kershaw",457763,"FF|CU","Ball","null","null"
"20","Clayton Kershaw",434636,"NULL","Ball","null","null"
"21","Clayton Kershaw",434636,"SL|FF","In play, run(s)","95.2","26.36"
"22","Clayton Kershaw",434636,"FF|FF","Called Strike","null","null"
"23","Clayton Kershaw",493596,"NULL","Swinging Strike","null","null"
"24","Clayton Kershaw",493596,"CU|FF","Called Strike","null","null"
"25","Clayton Kershaw",493596,"FF|SL","Called Strike","null","null"
"26","Clayton Kershaw",621389,"NULL","Ball","null","null"
"27","Clayton Kershaw",621389,"FF|FF","Called Strike","null","null"
"28","Clayton Kershaw",621389,"FF|FF","In play, no out","88.1","15.5"
"29","Clayton Kershaw",491676,"NULL","Foul","null","null"
"30","Clayton Kershaw",491676,"FF|SL","Ball In Dirt","null","null"
"31","Clayton Kershaw",491676,"SL|FF","Foul","null","null"
"32","Clayton Kershaw",491676,"FF|FF","Swinging Strike","null","null"
"33","Clayton Kershaw",491676,"FF|CU","In play, out(s)","65.6","4.7"
"34","Clayton Kershaw",474832,"NULL","Ball In Dirt","null","null"
"35","Clayton Kershaw",474832,"CU|FF","Ball","null","null"
"36","Clayton Kershaw",474832,"FF|CH","In play, out(s)","94.2","49.24"
"37","Clayton Kershaw",474832,"CH|FF","Foul","null","null"
"38","Clayton Kershaw",474832,"FF|FF","Foul","null","null"
"39","Clayton Kershaw",457763,"NULL","Ball","null","null"
"40","Clayton Kershaw",457763,"CU|SL","Ball","null","null"
"41","Clayton Kershaw",457763,"SL|SL","Foul (Runner Going)","null","null"
"42","Clayton Kershaw",457763,"SL|SL","Swinging Strike","null","null"
"43","Clayton Kershaw",457763,"SL|SL","Ball In Dirt","null","null"
"44","Clayton Kershaw",457763,"SL|SL","Foul","null","null"
"45","Clayton Kershaw",457763,"SL|CH","Ball","null","null"
"46","Clayton Kershaw",452254,"NULL","Ball In Dirt","null","null"
"47","Clayton Kershaw",452254,"SL|SL","In play, out(s)","null","null"
"48","Clayton Kershaw",452254,"SL|FF","Called Strike","null","null"
"49","Clayton Kershaw",543063,"NULL","In play, run(s)","74.8","-8.8"
"50","Clayton Kershaw",493596,"NULL","In play, run(s)","91.4","32.07"
"51","Clayton Kershaw",605412,"NULL","Ball","null","null"
"52","Clayton Kershaw",605412,"CU|FF","Foul","null","null"
"53","Clayton Kershaw",605412,"FF|CU","Ball","null","null"
"54","Clayton Kershaw",605412,"CU|FF","In play, out(s)","81.1","5.06"
"55","Clayton Kershaw",621389,"NULL","Called Strike","null","null"
"56","Clayton Kershaw",621389,"FF|SL","In play, no out","96.1","1.45"
"57","Clayton Kershaw",621389,"SL|FF","Ball","null","null"
"58","Clayton Kershaw",491676,"NULL","In play, out(s)","90.9","33.73"
"59","Clayton Kershaw",621389,"NULL","Foul","null","null"
"60","Clayton Kershaw",621389,"FF|FF","Called Strike","null","null"
"61","Clayton Kershaw",621389,"FF|CU","In play, out(s)","62.1","-58.07"
"62","Clayton Kershaw",605412,"NULL","Foul","null","null"
"63","Clayton Kershaw",605412,"FF|FF","Foul","null","null"
"64","Clayton Kershaw",605412,"FF|CU","Ball","null","null"
"65","Clayton Kershaw",605412,"CU|FF","Called Strike","null","null"
"66","Clayton Kershaw",605412,"FF|CU","Ball","null","null"
"67","Clayton Kershaw",605412,"CU|CH","Ball","null","null"
"68","Clayton Kershaw",605412,"CH|FF","In play, out(s)","null","null"
"69","Clayton Kershaw",434636,"NULL","Ball","null","null"
"70","Clayton Kershaw",434636,"SL|FF","In play, out(s)","74.5","83.5"
"71","Clayton Kershaw",543063,"NULL","In play, out(s)","86.4","1.69"
"72","Clayton Kershaw",543063,"FF|CU","Swinging Strike","null","null"
"73","Clayton Kershaw",543063,"CU|FF","Foul","null","null"
"74","Clayton Kershaw",543063,"FF|FF","In play, out(s)","82","-7.66"
"75","Clayton Kershaw",452254,"NULL","In play, out(s)","92","66.28"
"76","Clayton Kershaw",605412,"NULL","In play, out(s)","97.2","1.16"
"77","Clayton Kershaw",605412,"SL|SL","Ball","null","null"
"78","Clayton Kershaw",491676,"NULL","In play, out(s)","97.1","2.03"
"79","Clayton Kershaw",491676,"SL|FF","Foul","null","null"
"80","Clayton Kershaw",434636,"NULL","Called Strike","null","null"
"81","Clayton Kershaw",434636,"FF|FF","In play, no out","82.6","14.04"
"82","Clayton Kershaw",434636,"FF|FF","Called Strike","null","null"
"83","Clayton Kershaw",542436,"NULL","Ball","null","null"
"84","Clayton Kershaw",542436,"FF|FF","In play, out(s)","88.5","24.22"
"85","Clayton Kershaw",453568,"NULL","Ball","null","null"
"86","Clayton Kershaw",453568,"FF|SL","Foul","null","null"
"87","Clayton Kershaw",453568,"SL|FF","In play, out(s)","84.8","67.88"
"88","Clayton Kershaw",453568,"FF|FF","Ball","null","null"
"89","Clayton Kershaw",453568,"FF|FF","Ball","null","null"
"90","Clayton Kershaw",453568,"FF|FF","Foul","null","null"
"91","Clayton Kershaw",453568,"FF|FF","Foul","null","null"
"92","Clayton Kershaw",518614,"NULL","In play, out(s)","88.6","33.01"
"93","Clayton Kershaw",518614,"SL|FF","Called Strike","null","null"
"94","Clayton Kershaw",518614,"FF|SL","Ball","null","null"
"95","Clayton Kershaw",518614,"SL|FF","Ball","null","null"
"96","Clayton Kershaw",518614,"FF|FF","Foul Tip","null","null"
"97","Clayton Kershaw",571448,"NULL","Foul Tip","null","null"
"98","Clayton Kershaw",571448,"FF|FF","Called Strike","null","null"
"99","Clayton Kershaw",571448,"FF|CU","Ball","null","null"
"100","Clayton Kershaw",571448,"CU|CU","Foul","null","null"
"101","Clayton Kershaw",430605,"NULL","Ball","null","null"
"102","Clayton Kershaw",430605,"FF|SL","Swinging Strike","null","null"
"103","Clayton Kershaw",430605,"SL|SL","Ball","null","null"
"104","Clayton Kershaw",430605,"SL|FF","In play, out(s)","91.1","-10.14"
"105","Clayton Kershaw",467827,"NULL","Foul","null","null"
"106","Clayton Kershaw",467827,"FF|CU","Ball","null","null"
"107","Clayton Kershaw",467827,"CU|SL","In play, out(s)","null","null"
"108","Clayton Kershaw",467827,"SL|SL","Swinging Strike","null","null"
"109","Clayton Kershaw",467827,"SL|CU","Foul","null","null"
"110","Clayton Kershaw",506924,"NULL","Ball","null","null"
"111","Clayton Kershaw",506924,"FF|SL","Foul","null","null"
"112","Clayton Kershaw",506924,"SL|CU","Ball","null","null"
"113","Clayton Kershaw",506924,"CU|FF","Foul","null","null"
"114","Clayton Kershaw",506924,"FF|SL","Swinging Strike (Blocked)","null","null"
"115","Clayton Kershaw",506924,"SL|FF","Called Strike","null","null"
"116","Clayton Kershaw",506924,"FF|CU","Called Strike","null","null"
"117","Clayton Kershaw",506924,"CU|CU","Foul","null","null"
"118","Clayton Kershaw",642162,"NULL","In play, out(s)","91.8","22.71"
"119","Clayton Kershaw",642162,"FF|FF","Called Strike","null","null"
"120","Clayton Kershaw",642162,"FF|SL","Foul","null","null"
"121","Clayton Kershaw",547172,"NULL","Ball","null","null"
"122","Clayton Kershaw",547172,"FF|FF","Called Strike","null","null"
"123","Clayton Kershaw",547172,"FF|SL","In play, out(s)","null","null"
"124","Clayton Kershaw",518452,"NULL","Ball","null","null"
"125","Clayton Kershaw",518452,"CU|FF","Foul","null","null"
"126","Clayton Kershaw",518452,"FF|FF","Called Strike","null","null"
"127","Clayton Kershaw",518452,"FF|FF","Called Strike","null","null"
"128","Clayton Kershaw",518452,"FF|FF","Foul","null","null"
"129","Clayton Kershaw",518614,"NULL","Ball","null","null"
"130","Clayton Kershaw",518614,"SL|FF","In play, out(s)","93.2","49.77"
"131","Clayton Kershaw",571448,"NULL","In play, no out","70.9","6.52"
"132","Clayton Kershaw",571448,"CU|CU","Ball","null","null"
"133","Clayton Kershaw",571448,"CU|SL","Swinging Strike","null","null"
"134","Clayton Kershaw",571448,"SL|CU","Ball","null","null"
"135","Clayton Kershaw",571448,"CU|SL","Swinging Strike","null","null"
"136","Clayton Kershaw",430605,"NULL","Swinging Strike","null","null"
"137","Clayton Kershaw",430605,"SL|FF","Ball","null","null"
"138","Clayton Kershaw",430605,"FF|SL","In play, out(s)","96.9","16.91"
"139","Clayton Kershaw",467827,"NULL","In play, out(s)","null","null"
"140","Clayton Kershaw",467827,"FF|FF","Called Strike","null","null"
"141","Clayton Kershaw",467827,"FF|CU","Ball","null","null"
"142","Clayton Kershaw",467827,"CU|SL","Ball","null","null"
"143","Clayton Kershaw",467827,"SL|FF","Ball","null","null"
"144","Clayton Kershaw",506924,"NULL","In play, no out","102.9","18.82"
"145","Clayton Kershaw",506924,"CU|FF","Foul","null","null"
"146","Clayton Kershaw",506924,"FF|CU","Swinging Strike","null","null"
"147","Clayton Kershaw",642162,"NULL","Ball In Dirt","null","null"
"148","Clayton Kershaw",642162,"SL|SL","Swinging Strike","null","null"
"149","Clayton Kershaw",642162,"SL|FF","Foul","null","null"
"150","Clayton Kershaw",642162,"FF|FF","Called Strike","null","null"
"151","Clayton Kershaw",547172,"NULL","Foul","null","null"
"152","Clayton Kershaw",547172,"FF|SL","In play, out(s)","80.8","-15.86"
"153","Clayton Kershaw",547172,"SL|FF","Ball","null","null"
"154","Clayton Kershaw",547172,"FF|FF","Called Strike","null","null"
"155","Clayton Kershaw",547172,"FF|SL","Swinging Strike","null","null"
"156","Clayton Kershaw",453568,"NULL","Called Strike","null","null"
"157","Clayton Kershaw",453568,"FF|FF","In play, out(s)","85.9","21.38"
"158","Clayton Kershaw",518614,"NULL","In play, out(s)","92","26.01"
"159","Clayton Kershaw",571448,"NULL","Ball","null","null"
"160","Clayton Kershaw",571448,"FF|SL","In play, no out","90.2","-18.86"
"161","Clayton Kershaw",571448,"SL|FF","Called Strike","null","null"
"162","Clayton Kershaw",571448,"FF|SL","Ball","null","null"
"163","Clayton Kershaw",571448,"SL|SL","Ball","null","null"
"164","Clayton Kershaw",571448,"SL|SL","Swinging Strike","null","null"
"165","Clayton Kershaw",572863,"NULL","Swinging Strike (Blocked)","null","null"
"166","Clayton Kershaw",572863,"CU|FF","Called Strike","null","null"
"167","Clayton Kershaw",572863,"FF|FF","Foul","null","null"
"168","Clayton Kershaw",467827,"NULL","Called Strike","null","null"
"169","Clayton Kershaw",467827,"FF|SL","Called Strike","null","null"
"170","Clayton Kershaw",467827,"SL|CU","Foul","null","null"
"171","Clayton Kershaw",453568,"NULL","In play, out(s)","105.9","-16.77"
"172","Clayton Kershaw",453568,"SL|FF","Foul","null","null"
"173","Clayton Kershaw",453568,"FF|CU","Swinging Strike","null","null"
"174","Clayton Kershaw",456488,"NULL","Ball","null","null"
"175","Clayton Kershaw",456488,"FF|FF","In play, out(s)","90.8","22.24"
"176","Clayton Kershaw",434636,"NULL","Foul","null","null"
"177","Clayton Kershaw",434636,"FF|SL","In play, out(s)","67.7","6.76"
"178","Clayton Kershaw",434636,"SL|FF","Called Strike","null","null"
"179","Clayton Kershaw",457763,"NULL","Ball","null","null"
"180","Clayton Kershaw",457763,"CU|FF","Ball","null","null"
"181","Clayton Kershaw",457763,"FF|FF","In play, out(s)","107.4","18.14"
"182","Clayton Kershaw",452254,"NULL","Ball","null","null"
"183","Clayton Kershaw",452254,"CU|FF","Swinging Strike","null","null"
"184","Clayton Kershaw",452254,"FF|FF","Ball","null","null"
"185","Clayton Kershaw",452254,"FF|FF","In play, out(s)","null","null"
"186","Clayton Kershaw",452254,"FF|FF","Foul","null","null"
"187","Clayton Kershaw",452254,"FF|SL","Foul","null","null"
"188","Clayton Kershaw",491676,"NULL","Foul","null","null"
"189","Clayton Kershaw",491676,"SL|CU","In play, out(s)","96.3","33.75"
"190","Clayton Kershaw",491676,"CU|FF","Ball","null","null"
"191","Clayton Kershaw",491676,"FF|SL","Foul","null","null"
"192","Clayton Kershaw",543063,"NULL","In play, no out","93.2","10.85"
"193","Clayton Kershaw",474832,"NULL","Foul","null","null"
"194","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"195","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"196","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"197","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"198","Clayton Kershaw",518516,"NULL","Called Strike","null","null"
"199","Clayton Kershaw",518516,"SL|SL","Ball","null","null"
"200","Clayton Kershaw",518516,"SL|CU","Foul","null","null"
"201","Clayton Kershaw",518516,"CU|FF","Called Strike","null","null"
"202","Clayton Kershaw",518516,"FF|FF","Called Strike","null","null"
"203","Clayton Kershaw",434636,"NULL","Foul","null","null"
"204","Clayton Kershaw",434636,"SL|SL","Ball","null","null"
"205","Clayton Kershaw",434636,"SL|FF","Called Strike","null","null"
"206","Clayton Kershaw",434636,"FF|CU","Swinging Strike","null","null"
"207","Clayton Kershaw",434636,"CU|FF","In play, out(s)","85.8","-11.51"
"208","Clayton Kershaw",457763,"NULL","Foul","null","null"
"209","Clayton Kershaw",457763,"SL|CU","Foul","null","null"
"210","Clayton Kershaw",457763,"CU|FF","In play, no out","64.1","13.32"
"211","Clayton Kershaw",457763,"FF|FF","Ball","null","null"
"212","Clayton Kershaw",457763,"FF|FF","Ball","null","null"
"213","Clayton Kershaw",457763,"FF|SL","Swinging Strike","null","null"
"214","Clayton Kershaw",452254,"NULL","Ball In Dirt","null","null"
"215","Clayton Kershaw",452254,"CU|SL","Ball In Dirt","null","null"
"216","Clayton Kershaw",452254,"SL|SL","Ball","null","null"
"217","Clayton Kershaw",452254,"SL|FF","Called Strike","null","null"
"218","Clayton Kershaw",452254,"FF|FF","Foul","null","null"
"219","Clayton Kershaw",452254,"FF|FF","Foul","null","null"
"220","Clayton Kershaw",452254,"FF|FF","In play, out(s)","111","4.08"
"221","Clayton Kershaw",491676,"NULL","Ball","null","null"
"222","Clayton Kershaw",491676,"SL|SL","Ball","null","null"
"223","Clayton Kershaw",491676,"SL|FF","Called Strike","null","null"
"224","Clayton Kershaw",491676,"FF|SL","Ball","null","null"
"225","Clayton Kershaw",491676,"SL|SL","Called Strike","null","null"
"226","Clayton Kershaw",491676,"SL|FF","Ball","null","null"
"227","Clayton Kershaw",543063,"NULL","Foul","null","null"
"228","Clayton Kershaw",543063,"SL|FF","Ball","null","null"
"229","Clayton Kershaw",543063,"FF|FF","Called Strike","null","null"
"230","Clayton Kershaw",543063,"FF|SL","Swinging Strike","null","null"
"231","Clayton Kershaw",474832,"NULL","In play, out(s)","null","null"
"232","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"233","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"234","Clayton Kershaw",518516,"NULL","Foul","null","null"
"235","Clayton Kershaw",518516,"SL|FF","Foul","null","null"
"236","Clayton Kershaw",518516,"FF|SL","Ball","null","null"
"237","Clayton Kershaw",518516,"SL|FF","Foul","null","null"
"238","Clayton Kershaw",518516,"FF|CU","Swinging Strike","null","null"
"239","Clayton Kershaw",605509,"NULL","Foul","null","null"
"240","Clayton Kershaw",605509,"FF|FF","Called Strike","null","null"
"241","Clayton Kershaw",605509,"FF|FF","Ball","null","null"
"242","Clayton Kershaw",605509,"FF|SL","Called Strike","null","null"
"243","Clayton Kershaw",456488,"NULL","Foul","null","null"
"244","Clayton Kershaw",456488,"SL|CU","Foul","null","null"
"245","Clayton Kershaw",456488,"CU|FF","Foul","null","null"
"246","Clayton Kershaw",456488,"FF|SL","Swinging Strike","null","null"
"247","Clayton Kershaw",456488,"SL|FF","Ball","null","null"
"248","Clayton Kershaw",456488,"FF|SL","Foul","null","null"
"249","Clayton Kershaw",456488,"SL|CU","Swinging Strike (Blocked)","null","null"
"250","Clayton Kershaw",434636,"NULL","Ball","null","null"
"251","Clayton Kershaw",434636,"FF|SL","Swinging Strike","null","null"
"252","Clayton Kershaw",434636,"SL|FF","Called Strike","null","null"
"253","Clayton Kershaw",434636,"FF|SL","Called Strike","null","null"
"254","Clayton Kershaw",434636,"SL|FF","Ball","null","null"
"255","Clayton Kershaw",457763,"NULL","In play, out(s)","88.7","19.15"
"256","Clayton Kershaw",605509,"NULL","Called Strike","null","null"
"257","Clayton Kershaw",605509,"CU|SL","Foul","null","null"
"258","Clayton Kershaw",605509,"SL|FF","Foul","null","null"
"259","Clayton Kershaw",605509,"FF|SL","In play, out(s)","null","null"
"260","Clayton Kershaw",456488,"NULL","In play, no out","null","null"
"261","Clayton Kershaw",456488,"CU|SL","Called Strike","null","null"
"262","Clayton Kershaw",458731,"NULL","Ball","null","null"
"263","Clayton Kershaw",458731,"FF|FF","Called Strike","null","null"
"264","Clayton Kershaw",458731,"FF|FF","In play, out(s)","68.4","-8.4"
"265","Clayton Kershaw",458731,"FF|FF","Ball","null","null"
"266","Clayton Kershaw",453056,"NULL","Swinging Strike","null","null"
"267","Clayton Kershaw",453056,"SL|FF","Called Strike","null","null"
"268","Clayton Kershaw",453056,"FF|CU","Ball","null","null"
"269","Clayton Kershaw",453056,"CU|FF","Foul","null","null"
"270","Clayton Kershaw",596142,"NULL","Ball","null","null"
"271","Clayton Kershaw",596142,"FF|FF","In play, out(s)","79.8","-7.6"
"272","Clayton Kershaw",596142,"FF|FF","Ball","null","null"
"273","Clayton Kershaw",516770,"NULL","In play, out(s)","87.3","21.88"
"274","Clayton Kershaw",516770,"FF|FF","Ball","null","null"
"275","Clayton Kershaw",544369,"NULL","Ball","null","null"
"276","Clayton Kershaw",544369,"CU|SL","In play, out(s)","83","48.71"
"277","Clayton Kershaw",544369,"SL|FF","Called Strike","null","null"
"278","Clayton Kershaw",544369,"FF|FF","Foul","null","null"
"279","Clayton Kershaw",608701,"NULL","In play, out(s)","81.8","-28.07"
"280","Clayton Kershaw",608701,"CU|FF","Called Strike","null","null"
"281","Clayton Kershaw",592122,"NULL","Called Strike","null","null"
"282","Clayton Kershaw",592122,"CU|CU","Ball","null","null"
"283","Clayton Kershaw",592122,"CU|SL","Ball","null","null"
"284","Clayton Kershaw",592122,"SL|FF","Called Strike","null","null"
"285","Clayton Kershaw",592122,"FF|FF","Ball","null","null"
"286","Clayton Kershaw",592122,"FF|SL","Swinging Strike","null","null"
"287","Clayton Kershaw",458731,"NULL","In play, out(s)","null","null"
"288","Clayton Kershaw",458731,"FF|FF","Ball","null","null"
"289","Clayton Kershaw",453056,"NULL","Ball","null","null"
"290","Clayton Kershaw",453056,"CU|FF","Foul","null","null"
"291","Clayton Kershaw",453056,"FF|CU","Foul","null","null"
"292","Clayton Kershaw",453056,"CU|SL","Ball","null","null"
"293","Clayton Kershaw",453056,"SL|FF","Foul","null","null"
"294","Clayton Kershaw",453056,"FF|SL","Foul","null","null"
"295","Clayton Kershaw",453056,"SL|SL","Foul","null","null"
"296","Clayton Kershaw",453056,"SL|FF","In play, out(s)","97.3","-21.42"
"297","Clayton Kershaw",596142,"NULL","Swinging Strike","null","null"
"298","Clayton Kershaw",596142,"SL|SL","Called Strike","null","null"
"299","Clayton Kershaw",596142,"SL|SL","Foul","null","null"
"300","Clayton Kershaw",596142,"SL|CU","Ball","null","null"
"301","Clayton Kershaw",516770,"NULL","Foul","null","null"
"302","Clayton Kershaw",516770,"FF|FF","Ball","null","null"
"303","Clayton Kershaw",516770,"FF|SL","Foul","null","null"
"304","Clayton Kershaw",516770,"SL|FF","Ball","null","null"
"305","Clayton Kershaw",516770,"FF|SL","In play, no out","82.7","4.75"
"306","Clayton Kershaw",516770,"SL|FF","Ball","null","null"
"307","Clayton Kershaw",516770,"FF|SL","Swinging Strike","null","null"
"308","Clayton Kershaw",452104,"NULL","In play, no out","100.3","0.92"
"309","Clayton Kershaw",452104,"CU|FF","Called Strike","null","null"
"310","Clayton Kershaw",608701,"NULL","Ball In Dirt","null","null"
"311","Clayton Kershaw",608701,"FF|CU","Ball","null","null"
"312","Clayton Kershaw",608701,"CU|SL","Called Strike","null","null"
"313","Clayton Kershaw",608701,"SL|CU","Called Strike","null","null"
"314","Clayton Kershaw",608701,"CU|SL","Swinging Strike","null","null"
"315","Clayton Kershaw",519222,"NULL","Foul","null","null"
"316","Clayton Kershaw",519222,"FF|FF","Ball","null","null"
"317","Clayton Kershaw",519222,"FF|SL","Foul","null","null"
"318","Clayton Kershaw",519222,"SL|FF","Ball","null","null"
"319","Clayton Kershaw",519222,"FF|SL","Swinging Strike","null","null"
"320","Clayton Kershaw",452104,"NULL","Ball","null","null"
"321","Clayton Kershaw",452104,"CU|CU","In play, out(s)","null","null"
"322","Clayton Kershaw",452104,"CU|FF","Called Strike","null","null"
"323","Clayton Kershaw",452104,"FF|FF","Swinging Strike","null","null"
"324","Clayton Kershaw",519222,"NULL","In play, out(s)","105","-13.9"
"325","Clayton Kershaw",544369,"NULL","In play, out(s)","null","null"
"326","Clayton Kershaw",542303,"NULL","Called Strike","null","null"
"327","Clayton Kershaw",542303,"SL|FF","Called Strike","null","null"
"328","Clayton Kershaw",542303,"FF|FF","Called Strike","null","null"
"329","Clayton Kershaw",588751,"NULL","Ball In Dirt","null","null"
"330","Clayton Kershaw",588751,"SL|FF","Foul","null","null"
"331","Clayton Kershaw",588751,"FF|SL","Foul","null","null"
"332","Clayton Kershaw",588751,"SL|SL","Foul","null","null"
"333","Clayton Kershaw",588751,"SL|FF","Foul","null","null"
"334","Clayton Kershaw",588751,"FF|FF","Foul","null","null"
"335","Clayton Kershaw",588751,"FF|SL","Swinging Strike","null","null"
"336","Clayton Kershaw",588751,"SL|CU","Ball","null","null"
"337","Clayton Kershaw",588751,"CU|FF","Ball","null","null"
"338","Clayton Kershaw",588751,"FF|FF","Swinging Strike","null","null"
"339","Clayton Kershaw",543829,"NULL","Foul Tip","null","null"
"340","Clayton Kershaw",543829,"FF|SL","Swinging Strike","null","null"
"341","Clayton Kershaw",543829,"SL|SL","Called Strike","null","null"
"342","Clayton Kershaw",543829,"SL|FF","Foul","null","null"
"343","Clayton Kershaw",445988,"NULL","Ball","null","null"
"344","Clayton Kershaw",445988,"CU|SL","Ball","null","null"
"345","Clayton Kershaw",445988,"SL|FF","Called Strike","null","null"
"346","Clayton Kershaw",445988,"FF|FF","Called Strike","null","null"
"347","Clayton Kershaw",445988,"FF|SL","Ball","null","null"
"348","Clayton Kershaw",445988,"SL|SL","Swinging Strike","null","null"
"349","Clayton Kershaw",542303,"NULL","Swinging Strike","null","null"
"350","Clayton Kershaw",542303,"SL|CU","Foul","null","null"
"351","Clayton Kershaw",542303,"CU|FF","Ball","null","null"
"352","Clayton Kershaw",542303,"FF|CU","Ball","null","null"
"353","Clayton Kershaw",542303,"CU|SL","Ball","null","null"
"354","Clayton Kershaw",542303,"SL|FF","Swinging Strike","null","null"
"355","Clayton Kershaw",542303,"FF|SL","Foul","null","null"
"356","Clayton Kershaw",542303,"SL|SL","Foul Tip","null","null"
"357","Clayton Kershaw",543829,"NULL","In play, out(s)","70.2","-3.3"
"358","Clayton Kershaw",543829,"SL|FF","Foul","null","null"
"359","Clayton Kershaw",592885,"NULL","Ball","null","null"
"360","Clayton Kershaw",592885,"FF|CU","In play, out(s)","75.2","-29.26"
"361","Clayton Kershaw",592885,"CU|FF","Foul","null","null"
"362","Clayton Kershaw",592885,"FF|SL","Swinging Strike","null","null"
"363","Clayton Kershaw",592885,"SL|CU","Swinging Strike","null","null"
"364","Clayton Kershaw",592885,"CU|SL","Foul","null","null"
"365","Clayton Kershaw",592885,"SL|SL","In play, no out","null","null"
"366","Clayton Kershaw",592885,"SL|FF","Foul","null","null"
"367","Clayton Kershaw",592885,"FF|FF","Ball","null","null"
"368","Clayton Kershaw",445988,"NULL","Foul","null","null"
"369","Clayton Kershaw",445988,"FF|SL","Ball","null","null"
"370","Clayton Kershaw",445988,"SL|SL","In play, out(s)","null","null"
"371","Clayton Kershaw",445988,"SL|FF","Ball","null","null"
"372","Clayton Kershaw",425796,"NULL","Ball","null","null"
"373","Clayton Kershaw",425796,"CU|SL","Foul","null","null"
"374","Clayton Kershaw",425796,"SL|FF","Ball","null","null"
"375","Clayton Kershaw",425796,"FF|FF","Called Strike","null","null"
"376","Clayton Kershaw",425796,"FF|SL","Ball","null","null"
"377","Clayton Kershaw",425796,"SL|FF","Foul","null","null"
"378","Clayton Kershaw",425796,"FF|FF","In play, no out","97.9","12.6"
"379","Clayton Kershaw",592663,"NULL","Ball","null","null"
"380","Clayton Kershaw",592663,"CU|FF","Called Strike","null","null"
"381","Clayton Kershaw",592663,"FF|FF","Ball","null","null"
"382","Clayton Kershaw",592663,"FF|SL","In play, run(s)","100.1","25.34"
"383","Clayton Kershaw",592663,"SL|SL","Foul","null","null"
"384","Clayton Kershaw",592663,"SL|CU","Ball","null","null"
"385","Clayton Kershaw",592663,"CU|FF","In play, out(s)","83.2","51.61"
"386","Clayton Kershaw",592663,"FF|FF","Ball","null","null"
"387","Clayton Kershaw",453400,"NULL","Foul Tip","null","null"
"388","Clayton Kershaw",453400,"FF|CU","In play, run(s)","91.1","13.66"
"389","Clayton Kershaw",453400,"CU|FF","Called Strike","null","null"
"390","Clayton Kershaw",605228,"NULL","In play, no out","90.9","8.15"
"391","Clayton Kershaw",605228,"SL|FF","Swinging Strike","null","null"
"392","Clayton Kershaw",474568,"NULL","In play, no out","81.4","3.18"
"393","Clayton Kershaw",474568,"FF|FF","Called Strike","null","null"
"394","Clayton Kershaw",474568,"FF|SL","Swinging Strike","null","null"
"395","Clayton Kershaw",474568,"SL|SL","Ball","null","null"
"396","Clayton Kershaw",628356,"NULL","Foul","null","null"
"397","Clayton Kershaw",628356,"CU|CU","In play, out(s)","80.9","-29.49"
"398","Clayton Kershaw",628356,"CU|FF","Called Strike","null","null"
"399","Clayton Kershaw",628356,"FF|SL","Ball In Dirt","null","null"
"400","Clayton Kershaw",516782,"NULL","Ball","null","null"
"401","Clayton Kershaw",516782,"SL|FF","In play, out(s)","82.5","47.86"
"402","Clayton Kershaw",516782,"FF|FF","Swinging Strike","null","null"
"403","Clayton Kershaw",543281,"NULL","In play, no out","88.9","17.9"
"404","Clayton Kershaw",446481,"NULL","Ball","null","null"
"405","Clayton Kershaw",446481,"FF|SL","Ball","null","null"
"406","Clayton Kershaw",446481,"SL|SL","Swinging Strike","null","null"
"407","Clayton Kershaw",446481,"SL|FF","Ball","null","null"
"408","Clayton Kershaw",446481,"FF|FF","Foul","null","null"
"409","Clayton Kershaw",446481,"FF|SL","Ball","null","null"
"410","Clayton Kershaw",641771,"NULL","Ball","null","null"
"411","Clayton Kershaw",641771,"SL|CU","Ball","null","null"
"412","Clayton Kershaw",641771,"CU|FF","Foul","null","null"
